,LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
9393,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BRINDLE,BOOGIE,15223,2017,12/13/2016 15:54
9394,Dog Individual Spayed Female,AM PIT BULL TERRIER,WHITE/BROWN,MAGGIE,15239,2017,12/9/2016 9:00
9395,Dog Individual Neutered Male,TAG,BLACK/BROWN,MAX,15101,2017,12/28/2016 13:36
9396,Dog Individual Spayed Female,AUS SHEPHERD,BLUE,ALLIE,15237,2017,1/13/2017 8:45
9397,Dog Individual Neutered Male,MIXED,GREY,BLUE,15237,2017,1/13/2017 8:45
9398,Dog Individual Female,BOXER MIX,WHITE/BROWN,ABBY,15144,2017,1/31/2017 8:46
9399,Dog Senior Citizen or Disability Female,BOXER MIX,WHITE/BROWN,ABBY,15144,2017,1/31/2017 8:46
9400,Dog Individual Female,MALTESE,WHITE,CHLOE,15239,2017,1/31/2017 11:44
9401,Dog Individual Spayed Female,MIXED,BLACK/TAN,JINGLE,15220,2017,3/7/2017 8:41
9402,Dog Individual Spayed Female,BOXER MIX,WHITE/BLACK/BROWN,MISTY,15147,2017,1/25/2017 13:23
9403,Dog Individual Neutered Male,PAPILLON,WHITE/BROWN,CHARLIE,15046,2017,3/15/2017 14:54
9404,Dog Senior Citizen or Disability Neutered Male,MIXED,TAN,CALVIN,15146,2017,2/14/2017 8:38
9405,Dog Individual Neutered Male,MIXED,WHITE,GEORGE,16046,2017,1/18/2017 13:42
9406,Dog Senior Citizen or Disability Neutered Male,MIXED,BLACK,JUNEAU,15044,2017,1/10/2017 13:18
9407,Dog Individual Male,LAB MIX,BLACK/TAN,REX,15140,2017,3/27/2017 8:34
9408,Dog Individual Female,LAB MIX,BRINDLE,LILY,15084,2017,1/3/2017 14:04
9409,Dog Individual Neutered Male,SHEPHERD MIX,BLACK/TAN/WHITE,STUD,15237,2017,1/17/2017 14:56
9410,Dog Senior Citizen or Disability Spayed Female,SHETLAND SHEEPDOG,MULTI,CHER,15116,2017,1/18/2017 9:07
9411,Dog Individual Spayed Female,MIXED,BLACK WITH WHITE,ZOE,15241,2017,1/9/2017 15:26
9412,Dog Senior Citizen or Disability Neutered Male,JACK RUSSEL TERRIER,WHITE,SCRUFFY,15235,2017,12/13/2016 16:03
9413,Dog Individual Spayed Female,MIXED,BROWN,COOPER,15014,2017,12/19/2016 15:28
9414,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,TAN,SPOT,15147,2017,1/23/2017 10:28
9415,Dog Individual Neutered Male,LAB MIX,WHITE/TAN,TACO,15237,2017,12/16/2016 16:25
9416,Dog Individual Neutered Male,TERRIER MIX,WHITE,AUGGIE BEAR,15202,2017,1/26/2017 10:03
9417,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,ROXIE,15101,2017,2/28/2017 16:01
9418,Dog Individual Male,TAG,WHITE/BROWN,DEXTER,15014,2017,3/3/2017 14:14
9419,Dog Senior Citizen or Disability Spayed Female,PULI,BLACK,ALEX,15236,2017,1/9/2017 16:01
9420,Dog Senior Citizen or Disability Spayed Female,RAT TERRIER,WHITE/BLACK/BROWN,BELLA,15104,2017,12/22/2016 16:28
9421,Dog Individual Spayed Female,CHIHUAHUA,BLACK,LADY BUG,15034,2017,2/21/2017 12:06
9422,Dog Individual Spayed Female,CHIHUAHUA,BLACK/TAN/WHITE,MIA,15216,2017,1/19/2017 15:56
9423,Dog Individual Spayed Female,SHIH TZU,WHITE/TAN,NIKKI,15238,2017,1/30/2017 13:52
9424,Dog Individual Female,CHIHUAHUA,TAN,VEGA,15122,2017,1/6/2017 15:04
9425,Dog Individual Neutered Male,LAB MIX,BLACK,ZEUS,15147,2017,2/17/2017 14:37
9426,Dog Individual Spayed Female,LAB MIX,YELLOW,LULU,15106,2017,1/26/2017 13:10
9427,Dog Individual Spayed Female,AM BULLDOG,WHITE/BRINDLE,LILO,15218,2017,1/24/2017 10:13
9428,Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,BUDDY,15037,2017,1/3/2017 8:58
9429,Dog Individual Neutered Male,BEAGLE,BLACK/BROWN,MOSBY,15017,2017,1/9/2017 11:07
9430,Dog Individual Spayed Female,LAB MIX,BLACK,CHICA,15236,2017,1/6/2017 15:06
9431,Dog Individual Neutered Male,BICHON FRISE,WHITE/BEIGE,DAKOTA,15236,2017,2/23/2017 16:07
9432,Dog Individual Neutered Male,ENG BULLDOG,BROWN,BUG,15215,2017,12/9/2016 8:58
9433,Dog Senior Citizen or Disability Neutered Male,ENG BULLDOG,BROWN,BUG,15215,2017,12/9/2016 8:58
9434,Dog Senior Citizen or Disability Female,BEAGLE MIX,SPOTTED,MISTY,15132,2017,12/13/2016 10:51
9435,Dog Individual Male,AM PITT BULL MIX,BRINDLE,O.G.,15122,2017,1/3/2017 8:58
9436,Dog Senior Citizen or Disability Spayed Female,GOLDEN RETRIEVER,BROWN,MISTY PEARL,15126,2017,12/15/2016 8:37
9437,Dog Senior Citizen or Disability Spayed Female,DACHSHUND,BROWN,MOLLIE,15132,2017,3/22/2017 13:19
9438,Dog Individual Neutered Male,GREAT DANE,BLACK,MISCHIEF,15102,2017,3/22/2017 8:38
9439,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BLACK/BROWN,LEIA,15139,2017,2/13/2017 8:36
9440,Dog Individual Neutered Male,BORD COLLIE,WHITE/BLACK,OREO,15106,2017,1/25/2017 12:39
9441,Dog Individual Neutered Male,MIXED,SPOTTED,AJAX,15227,2017,1/3/2017 13:12
9442,Dog Individual Spayed Female,MORKIE,.,NO NAME WRITTEN ON APPLICATION,15236,2017,1/13/2017 9:49
9443,Dog Senior Citizen or Disability Male,GER SHEPHERD,WHITE/BLACK/BROWN,ROCKY,15030,2017,2/14/2017 16:10
9444,Dog Individual Neutered Male,AUS SHEPHERD,BLACK,MEMPHIS,15136,2017,1/10/2017 16:34
9445,Dog Individual Spayed Female,BOXER,WHITE/BLACK,MERCEDES,15068,2017,3/20/2017 11:17
9446,Dog Individual Neutered Male,SIB HUSKY,WHITE/BLACK,TIKHON,15238,2017,12/8/2016 16:26
9447,Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,BABY,15205,2017,1/13/2017 12:48
9448,Dog Individual Neutered Male,BERNESE MTN DOG,WHITE/BLACK/BROWN,SAMMY,15205,2017,1/13/2017 12:48
9449,Dog Individual Neutered Male,PUG,BROWN,BARKLEY,15084,2017,12/8/2016 15:50
9450,Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK,ZOE,15044,2017,12/15/2016 16:07
9451,Dog Senior Citizen or Disability Duplicate,MIXED,WHITE/BLACK,ZOE,15044,2017,3/20/2017 13:56
9452,Dog Individual Neutered Male,SHIH TZU,WHITE/BROWN,BUDDY,15133,2017,3/22/2017 8:39
9453,Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,HARPER,15101,2017,2/17/2017 8:34
9454,Dog Senior Citizen or Disability Spayed Female,DACHSHUND,RED,SUGAR,15215,2017,12/14/2016 8:40
9455,Dog Senior Citizen or Disability Spayed Female,SHEPHERD MIX,TRI-COLOR,PIPER,15237,2017,1/10/2017 15:55
9456,Dog Senior Citizen or Disability Neutered Male,DOGUE DE BORDEAUX,RED,BAZINGA,15090,2017,1/11/2017 11:06
9457,Dog Individual Male,MIXED,BLACK/BROWN,TUNNEL,15146,2017,2/2/2017 9:43
9458,Dog Individual Neutered Male,LAB MIX,BLACK WITH WHITE,CHESTER BECK,15234,2017,1/24/2017 9:02
9459,Dog Individual Neutered Male,ENG BULLDOG,WHITE/BRINDLE,JUNIOR,15205,2017,3/24/2017 15:13
9460,Dog Individual Spayed Female,POMERANIAN,SABLE,TIA,15108,2017,12/5/2016 16:12
9461,Dog Individual Spayed Female,BOXER MIX,BRINDLE,ZENIA MONDINE,15071,2017,2/23/2017 16:28
9462,Dog Senior Citizen or Disability Neutered Male,ICELAND DOG,WHITE/BLACK/BROWN,ARI,15101,2017,12/28/2016 12:11
9463,Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD,BLACK,GIBBS,15145,2017,1/9/2017 15:26
9464,Dog Individual Neutered Male,ENGLISH MASTIFF,FAWN,GRIZZ,15024,2017,12/27/2016 15:22
9465,Dog Individual Spayed Female,MIXED,WHITE/BLACK,SAMANTHA,15024,2017,2/9/2017 12:54
9466,Dog Individual Spayed Female,MIXED,WHITE/BLACK,SAMANTHA,15024,2017,2/9/2017 12:54
9467,Dog Individual Neutered Male,MIXED,BROWN,HUNTER,15142,2017,12/13/2016 15:53
9468,Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,JOSIE,15108,2017,1/31/2017 9:15
9469,Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,LEO,15108,2017,1/31/2017 9:15
9470,Dog Individual Spayed Female,PUG,BLACK,IZZY,15131,2017,12/23/2016 8:44
9471,Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,LORENZO,15227,2017,1/11/2017 11:06
9472,Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,RY-LEE,15227,2017,1/11/2017 11:06
9473,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,TANK LOZANO,15237,2017,1/11/2017 14:29
9474,Dog Senior Citizen or Disability Male,PUG,BLACK,CHUGS,15084,2017,2/28/2017 8:44
9475,Dog Individual Female,DACHSHUND,RED/BROWN,BELLA,15116,2017,1/12/2017 16:34
9476,Dog Individual Spayed Female,LABRADOR RETRIEVER,BROWN,ELLA,15120,2017,11/30/2016 12:54
9477,Dog Individual Male,GOLDEN RETRIEVER,GOLD,HUNTER,15210,2017,3/17/2017 15:48
9478,Dog Individual Spayed Female,AM PITT BULL MIX,WHITE/BLACK,SUNNY,15216,2017,2/9/2017 13:40
9479,Dog Senior Citizen or Disability Neutered Male,SHIH TZU,SPOTTED,JEFF,15239,2017,12/22/2016 8:40
9480,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,NICO,15136,2017,3/16/2017 11:16
9481,Dog Individual Spayed Female,BORD COLLIE MIX,WHITE/BLACK/BROWN,HAYLIE,15005,2017,2/14/2017 16:10
9482,Dog Senior Citizen or Disability Spayed Female,BEAGLE,WHITE/BLACK/BROWN,GRACIE LU,15037,2017,1/17/2017 9:44
9483,Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,COOPER,15216,2017,2/24/2017 15:19
9484,Dog Senior Citizen or Disability Spayed Female,POMERANIAN,WHITE/BROWN,BELLA,15065,2017,11/30/2016 12:54
9485,Dog Individual Spayed Female,DACHSHUND MIX,WHITE/BLACK,HOLLY,15116,2017,12/14/2016 16:17
9486,Dog Individual Neutered Male,NORW ELKHOUND,BLACK/TAN,MOJO,15044,2017,12/12/2016 9:35
9487,Dog Individual Neutered Male,NORW ELKHOUND,BLACK/TAN,MOOSE,15044,2017,12/12/2016 9:35
9488,Dog Individual Spayed Female,CHIHUAHUA,WHITE/BLACK,SADIE,15116,2017,12/14/2016 16:17
9489,Dog Individual Female,AM PITT BULL MIX,WHITE/BROWN,REESEY,15136,2017,2/27/2017 16:26
9490,Dog Individual Spayed Female,LAB MIX,BROWN,ALI,15046,2017,1/4/2017 10:10
9491,Dog Individual Neutered Male,MALTESE,WHITE,FUFU,15116,2017,2/8/2017 8:50
9492,Dog Individual Neutered Male,BOXER MIX,BLACK/BROWN,TOBY,15205,2017,1/24/2017 16:31
9493,Dog Senior Citizen or Disability Male,MIN PINSCHER,BLACK/BROWN,BISHOP,15084,2017,1/13/2017 12:48
9494,Dog Senior Citizen or Disability Spayed Female,POMERANIAN,BROWN,BAY,15214,2017,12/9/2016 9:00
9495,Dog Individual Spayed Female,AM STAFF TERRIER,WHITE/BLACK/BROWN,BELLA,15239,2017,2/2/2017 14:35
9496,Dog Individual Spayed Female,HAVANESE,CREAM,MILLIE,15241,2017,12/23/2016 8:44
9497,Dog Individual Spayed Female,BOXER,WHITE/BRINDLE,PATCHES,15202,2017,2/2/2017 14:35
9498,Dog Individual Spayed Female,SHIH TZU,WHITE/BLACK,LUCY,15221,2017,2/24/2017 8:33
9499,Dog Individual Neutered Male,LABRADOR RETRIEVER,BROWN,MOOSE,15071,2017,12/13/2016 16:03
9500,Dog Senior Citizen or Disability Spayed Female,JACK RUSSEL TERRIER,SPOTTED,COOKIE,15205,2017,12/16/2016 9:29
9501,Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,MARIA,15120,2017,12/6/2016 16:08
9503,Dog Individual Neutered Male,POODLE MIN,WHITE/APRICOT,BUSTER,15220,2017,3/9/2017 16:27
9504,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK,REBA,15049,2017,12/8/2016 13:00
9505,Dog Individual Neutered Male,MASTIFF,TAN,REESE,15235,2017,1/31/2017 9:14
9506,Dog Individual Neutered Male,SHETLAND SHEEPDOG,BROWN,MILO,15044,2017,12/29/2016 16:05
9507,Dog Individual Female,BEAGLE,SPOTTED,ARIEL,15227,2017,12/1/2016 10:48
9508,Dog Senior Citizen or Disability Male,W HGHLND WH TERRIER,WHITE,BOLT,15136,2017,12/2/2016 8:42
9509,Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,MATTIE,15132,2017,2/17/2017 14:49
9510,Dog Individual Spayed Female,BEAGLE MIX,SPOTTED,SOCKS,15209,2017,1/3/2017 11:57
9511,Dog Individual Neutered Male,POMERANIAN,SPOTTED,SPIKE,15221,2017,1/17/2017 12:33
9512,Dog Individual Neutered Male,SIB HUSKY,WHITE/BLACK,BEAR,15137,2017,2/14/2017 16:10
9513,Dog Individual Spayed Female,SIB HUSKY,WHITE,PANDORA,15139,2017,11/30/2016 15:46
9514,Dog Senior Citizen or Disability Female,PARSON RUSSELL TERR,WHITE,BELLA,15018,2017,1/5/2017 11:21
9515,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,PEPPER,15120,2017,2/14/2017 8:38
9516,Dog Individual Male,BORD COLLIE MIX,WHITE/BLACK,UNO,15236,2017,1/5/2017 12:50
9517,Dog Individual Neutered Male,PARSON RUSSELL TERR,BLACK/BROWN,REX,15102,2017,1/25/2017 9:04
9518,Dog Individual Spayed Female,BEAGLE MIX,SPOTTED,MADISON,15017,2017,12/15/2016 14:50
9519,Dog Individual Spayed Female,CHIHUAHUA,BROWN/TAN,GINGER,15065,2017,3/20/2017 8:26
9520,Dog Individual Neutered Male,CHIHUAHUA,WHITE/BLACK,POPITO,15065,2017,3/20/2017 8:26
9521,Dog Individual Neutered Male,GER SHEPHERD MIX,BLACK/TAN,ROCCO,15025,2017,1/4/2017 8:38
9522,Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,MILO,15101,2017,12/28/2016 16:14
9523,Dog Individual Neutered Male,MIN PINSCHER,BLACK/BROWN,CHANCE,15145,2017,1/5/2017 9:17
9524,Dog Senior Citizen or Disability Spayed Female,SHIH TZU,LIVER,MALEAH,15135,2017,2/21/2017 12:06
9525,Dog Individual Neutered Male,CHINESE SHAR-PEI,BLUE,SUMO SANDOVAL,15044,2017,2/3/2017 15:15
9526,Dog Individual Neutered Male,MIXED,WHITE/BLACK,BOBO,15148,2017,1/6/2017 14:43
9527,Dog Individual Spayed Female,SHETLAND SHEEPDOG,SABLE,CASSEE,15237,2017,12/30/2016 8:55
9528,Dog Individual Spayed Female,MIXED,SALT/PEPPER,BEATRIX,15017,2017,2/15/2017 15:53
9529,Dog Senior Citizen or Disability Spayed Female,PEEKAPOO,BLACK,RUBY,15202,2017,12/19/2016 15:13
9530,Dog Individual Neutered Male,LABRADOODLE,WHITE,SNOOPY,15024,2017,2/8/2017 8:49
9531,Dog Individual Spayed Female,GER SHEPHERD,BLACK/BROWN,ZENA,15106,2017,12/6/2016 16:08
9532,Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN/TAN,SAMMIE JOHNSON,15035,2017,12/12/2016 8:54
9533,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,BENTLEY,15144,2017,3/22/2017 15:19
9534,Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,BENTLEY,15144,2017,3/22/2017 15:19
9535,Dog Senior Citizen or Disability Spayed Female,W HGHLND WH TERRIER,WHITE,SOPHIE,15102,2017,1/4/2017 10:10
9536,Dog Individual Spayed Female,MIXED,BLACK,SUKI,15106,2017,1/30/2017 14:22
9537,Dog Individual Female,GOLDEN RETRIEVER,GOLD,MOLLY,15136,2017,1/13/2017 15:02
9538,Dog Individual Male,MIN PINSCHER,BLACK/BROWN/TAN,CHARLIE,15035,2017,3/7/2017 16:08
9539,Dog Individual Spayed Female,LABRADOODLE,WHITE,DAISY,15218,2017,1/10/2017 16:19
9540,Dog Individual Spayed Female,GOLDEN RETRIEV MIX,GOLD/RED,HAYLEE,15239,2017,1/11/2017 14:29
9541,Dog Individual Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,LIL DUDE,15090,2017,12/15/2016 16:01
9542,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BLACK/TAN,LIL DUDE,15090,2017,12/15/2016 16:01
9543,Dog Individual Spayed Female,TERRIER MIX,GOLD,PAIGE,15239,2017,1/11/2017 14:29
9544,Dog Individual Neutered Male,TAG,BRINDLE,ROCKY,15137,2017,12/8/2016 16:26
9545,Dog Individual Spayed Female,LAB MIX,GOLD,TESS,15243,2017,1/31/2017 9:15
9546,Dog Individual Female,CHIHUAHUA,WHITE,SNOWY,15102,2017,2/23/2017 16:07
9547,Dog Individual Spayed Female,LAB MIX,BROWN,SAYDEE,15133,2017,1/19/2017 8:46
9548,Dog Individual Neutered Male,MIXED,SABLE/WHITE,BRUTUS,15210,2017,2/16/2017 12:23
9549,Dog Individual Spayed Female,SCHNAUZER MIN,SALT/PEPPER,ROSIE,15101,2017,1/3/2017 13:12
9550,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,BLACK/BROWN/GREY,RYLEY,15227,2017,1/25/2017 16:23
9551,Dog Senior Citizen or Disability Neutered Male,CHIHUAHUA,BLACK/BROWN/GREY,RYLEY,15227,2017,1/25/2017 16:23
9552,Dog Individual Neutered Male,POMERANIAN,BLACK/FAWN,SYDNEY,15120,2017,1/19/2017 8:43
9553,Dog Individual Neutered Male,POODLE MIX,WHITE/TAN,SCRAPPY,15101,2017,12/28/2016 16:14
9554,Dog Individual Spayed Female,AM PIT BULL TERRIER,WHITE,ARYA NEBEL,15025,2017,2/8/2017 15:35
9555,Dog Individual Spayed Female,CHOW CHOW,BLACK,AGATHA,15102,2017,3/2/2017 11:18
9556,Dog Individual Female,ROTTWEILER,BLACK/BROWN,MACY,15212,2017,1/23/2017 10:52
9557,Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,MULTI,ALFIE,15147,2017,12/1/2016 8:53
9558,Dog Individual Neutered Male,POODLE MIX,WHITE,BENJI,15237,2017,2/24/2017 15:28
9559,Dog Individual Spayed Female,CHIHUAHUA,WHITE/BROWN,GRACIE PARKS,15236,2017,2/17/2017 8:34
9560,Dog Individual Neutered Male,MIXED,BROWN,BUDDY,15056,2017,12/14/2016 16:17
9561,Dog Individual Spayed Female,TAG,BROWN,ALLEY,15065,2017,12/13/2016 16:04
9562,Dog Individual Spayed Female,SCHNAUZER MIN,WHITE/BLACK/BROWN,LILLY,15037,2017,2/7/2017 8:39
9563,Dog Individual Neutered Male,CHIHUAHUA,WHITE/YELLOW,TOBY,15112,2017,2/27/2017 13:21
9564,Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,BELLA,15065,2017,12/14/2016 9:27
9565,Dog Individual Spayed Female,GER SHEPHERD,BLACK/TAN,JERZEE,15133,2017,1/27/2017 9:19
9566,Dog Individual Spayed Female,GOLDENDOODLE,WHITE,RIKI,15071,2017,1/5/2017 12:50
9567,Dog Senior Citizen or Disability Spayed Female,PUG,BLACK/BROWN,GIRLIE,15116,2017,1/5/2017 8:36
9568,Dog Individual Female,AM ESKIMO DOG,WHITE,FIONA,15132,2017,2/23/2017 11:00
9569,Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD,BLACK/BROWN,ELLA MAY,15227,2017,1/10/2017 15:55
9570,Dog Individual Male,MIXED,BLACK,CARTER COLE,15235,2017,1/24/2017 11:58
9571,Dog Individual Spayed Female,POODLE TOY,BLACK,FIONA,15065,2017,3/20/2017 8:26
9572,Dog Senior Citizen or Disability Neutered Male,ROTTWEILER,BLACK/BROWN,MAXWELL,15235,2017,12/16/2016 9:08
9573,Dog Individual Neutered Male,TAG,BLACK,SAMSON,15216,2017,2/14/2017 14:50
9574,Dog Individual Spayed Female,BORDER TERRIER,BROWN,BABETTE,15090,2017,1/12/2017 9:36
9575,Dog Individual Neutered Male,GOLDEN RETRIEVER,BROWN,SULLY,15108,2017,2/8/2017 15:35
9576,Dog Individual Spayed Female,GOLDEN RETRIEVER,BROWN,KAYLEE,15108,2017,2/8/2017 15:35
9577,Dog Senior Citizen or Disability Neutered Male,PAPILLON,WHITE/BLACK,CAIRO,15235,2017,1/20/2017 13:33
9578,Dog Senior Citizen or Disability Spayed Female,PAPILLON,WHITE/BLACK,CI CI,15235,2017,1/20/2017 13:33
9579,Dog Senior Citizen or Disability Neutered Male,PAPILLON,WHITE/BROWN,COOPER,15235,2017,1/20/2017 13:33
9580,Dog Senior Citizen or Disability Neutered Male,PAPILLON,WHITE/BROWN,JAY,15235,2017,1/20/2017 13:33
9581,Dog Individual Male,BICHON FRISE,WHITE,DUDE,15122,2017,12/14/2016 16:17
9582,Dog Senior Citizen or Disability Spayed Female,SHEPHERD MIX,BLACK/BROWN,J.D.,15135,2017,12/13/2016 16:03
9583,Dog Individual Neutered Male,DACHSHUND,RED,MIKE,15236,2017,3/1/2017 15:42
9584,Dog Senior Citizen or Disability Female,CHIHUAHUA,WHITE/TAN,DANIELA,15084,2017,2/28/2017 8:44
9585,Dog Senior Citizen or Disability Male,GER SHEPHERD,BLACK/BROWN,OXYN,15235,2017,12/30/2016 13:28
9586,Dog Individual Spayed Female,BOXER MIX,FAWN,PUPPY,15065,2017,1/6/2017 15:18
9587,Dog Individual Male,AM PIT BULL TERRIER,WHITE/BLACK,SOSATHORNE,15235,2017,2/8/2017 11:37
9588,Dog Individual Neutered Male,BOXER,FAWN,PARKER,15147,2017,12/29/2016 15:15
9589,Dog Individual Neutered Male,AM PITT BULL MIX,TAN,KELSO,15215,2017,12/14/2016 9:08
9590,Dog Individual Neutered Male,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,GIZMO,15133,2017,1/6/2017 15:49
9591,Dog Individual Neutered Male,GER SHEPHERD,BLACK/TAN,MALKIN,15202,2017,3/22/2017 11:41
9592,Dog Individual Female,GER SHEPHERD,BLACK/TAN,HAITI,15202,2017,3/22/2017 11:41
9593,Dog Individual Spayed Female,MIXED,WHITE/TAN,PIKI,15241,2017,12/28/2016 12:11
9594,Dog Senior Citizen or Disability Male,MIXED,WHITE,YOGI BEAR,15063,2017,3/7/2017 14:10
9595,Dog Individual Neutered Male,MIXED,WHITE/BROWN,CHARLIE,15136,2017,12/1/2016 8:52
9597,Dog Individual Spayed Female,BEAGLE MIX,BROWN,FUSSY,15144,2017,12/29/2016 15:14
9598,Dog Individual Neutered Male,DACHSHUND,CHOCOLATE,ODIE,15236,2017,12/12/2016 13:35
9599,Dog Individual Neutered Male,DACHSHUND,BLACK/GOLD,OTTO,15236,2017,12/12/2016 13:35
9600,Dog Senior Citizen or Disability Spayed Female,BOXER,WHITE/BROWN,TONI,15082,2017,12/8/2016 10:09
9601,Dog Individual Spayed Female,AKITA,BLONDE,KIKI,15106,2017,2/8/2017 14:10
9602,Dog Senior Citizen or Disability Spayed Female,SHETLAND SHEEPDOG,TRI-COLOR,ASHLEY,15220,2017,1/19/2017 15:56
9603,Dog Individual Spayed Female,MIXED,BROWN/TAN,MIA,15209,2017,2/1/2017 9:20
9604,Dog Individual Neutered Male,NEWFOUNDLAND,BLACK,LINCOLN,15017,2017,12/14/2016 16:17
9605,Dog Individual Spayed Female,AM BULLDOG,GREY,ARIEL,15106,2017,12/28/2016 16:14
9606,Dog Individual Spayed Female,CHIHUAHUA,WHITE/GREY,ROXIE,15065,2017,12/14/2016 9:27
9607,Dog Individual Spayed Female,TAG,BLACK/TAN,WINDY,15122,2017,1/5/2017 16:35
9608,Dog Individual Spayed Female,MIXED,WHITE,LOLA,15090,2017,12/29/2016 12:23
9609,Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/TAN,VEGAS,15205,2017,12/19/2016 15:40
9610,Dog Senior Citizen or Disability Spayed Female,COCKER SPANIEL,BROWN,ANNIE,15065,2017,3/7/2017 12:08
9611,Dog Senior Citizen or Disability Spayed Female,JACK RUSSEL TERRIER,WHITE/BROWN,DASHER,15237,2017,3/8/2017 13:03
9612,Dog Individual Female,MIXED,BRINDLE,BRIE,15147,2017,12/14/2016 9:27
9613,Dog Individual Neutered Male,MALTESE,WHITE,NISCHAN,15239,2017,1/13/2017 16:25
9614,Dog Individual Spayed Female,BORD COLLIE MIX,BLACK WITH WHITE,MAGGIE,15236,2017,2/13/2017 14:03
9615,Dog Individual Neutered Male,MIN PINSCHER,RED,DOBIE,15108,2017,12/28/2016 13:27
9616,Dog Senior Citizen or Disability Male,JACK RUSSEL TERRIER,WHITE/BROWN,JACK,15120,2017,1/9/2017 9:10
9617,Dog Senior Citizen or Disability Neutered Male,JACK RUSSEL TERRIER,WHITE/BROWN,JACK,15120,2017,1/9/2017 9:11
9621,Dog Senior Citizen or Disability Spayed Female,MIXED,BLACK/BROWN,SKY,15225,2017,12/14/2016 16:17
9622,Dog Individual Spayed Female,LAB MIX,WHITE,CHLOE,15220,2017,2/24/2017 15:28
9623,Dog Individual Spayed Female,LAB MIX,BLACK,GRACIE,15137,2017,3/14/2017 8:47
9624,Dog Individual Male,ENG SPRINGER SPANIE,SPOTTED,REMINGTON,15132,2017,2/3/2017 15:52
9625,Dog Individual Male,ENG SPRINGER SPANIE,SPOTTED,WINCHESTER,15132,2017,2/3/2017 15:52
9626,Dog Individual Neutered Male,GER SHORTHAIR POINT,WHITE/LIVER,CASH,15068,2017,3/27/2017 14:51
9627,Dog Individual Neutered Male,BICHON FRISE,WHITE,MERLIN FROSTY,15215,2017,1/11/2017 11:27
9628,Dog Senior Citizen or Disability Spayed Female,CAV KING CHAR SPANI,RED,ZOEY,15228,2017,12/14/2016 8:40
9629,Dog Individual Male,SIB HUSKY,OTHER,YUKON,15132,2017,1/11/2017 16:33
9630,Dog Individual Male,AM BULLDOG,WHITE/BROWN,MUGZY,15235,2017,3/15/2017 9:07
9631,Dog Senior Citizen or Disability Neutered Male,POODLE TOY,SILVER,TANNER,15235,2017,12/12/2016 8:54
9632,Dog Individual Neutered Male,MIXED,RED,PACO,15241,2017,12/8/2016 8:33
9633,Dog Individual Spayed Female,LABRADOR RETRIEVER,WHITE/YELLOW,ELLIE MAE LINDERMAN,15239,2017,1/6/2017 8:40
9634,Dog Individual Male,YORKSHIRE TERRIER,BLACK/BROWN,GRIZZLY,15120,2017,2/27/2017 12:31
9635,Dog Individual Spayed Female,POODLE MIX,SPOTTED,HALLE,15215,2017,2/22/2017 9:14
9636,Dog Senior Citizen or Disability Spayed Female,POMERANIAN MIX,BROWN,FOXY,15132,2017,1/5/2017 12:50
9637,Dog Individual Neutered Male,JAPANESE CHIN,WHITE/BLACK,PANDA,15235,2017,1/12/2017 14:57
9638,Dog Individual Female,GER SHEPHERD,BLACK/BROWN,AVA,15101,2017,1/3/2017 8:58
9639,Dog Individual Spayed Female,GER SHEPHERD,BLACK/BROWN,AVA,15101,2017,3/1/2017 8:41
